id,text,token_count
2023_tv_82,"Hawaiian Telcom removes the Honolulu duopoly of Fox/CW affiliate KHON and MyNetworkTV affiliate KHII, and NewsNation from its systems across the state after failing to renew an agreement with Nexstar Media Group that expired on June 30. The provider filed an FCC complaint on July 6, asking for the commission to rule Nexstar's failure to continue the channels’ carriage as a violation of good-faith negotiation rules for each day since the previous contract lapsed. Hawaiian Telcom, which noted the Islands‘ volcanic and mountainous terrain prevents many residents from receiving KHON/KHII over-the-air and alleged that the group sought to increase fees to carry the channels by 80%, accused Nexstar of withholding consent by not responding to its request to extend negotiations by one week—forcing it to remove the channels—until immediately before the agreement expired. The parties reached a multi-year agreement to restore KHON/KHII (along with Rewind TV-affiliated KHON-DT4) and NewsNation to Hawaiian Telcom's lineup on July 20, although the provider stated it would not drop the Nexstar complaint (which it amended the day before to allege the group had unraveled an earlier version of the deal on July 17, demanding Hawaiian Telcom rescind the complaint and not file future FCC complaints against Nexstar).",296
2023_tv_87,"SAG-AFTRA commenced a strike against television and film studios, after the union and the Alliance of Motion Picture and Television Producers failed to agree on a new contract after their previous agreement expired on June 30. This marks the first time that actors have initiated a labor dispute since the 1980 actors strike. With the concurrent Writers Guild of America strike, this was also the first time that actors and writers have walked out simultaneously since 1960. Similar to the WGA, SAG-AFTRA cited several issues, including economic fairness, residuals, regulating the use of artificial intelligence, and alleviating the burdens of the industry-wide shift to self-taping. In addition to impacting film and television productions, actors could not take part in promotional work, such as press junkets, film premieres, and other events such as the San Diego Comic-Con. Journalists and performers employed under the SAG-AFTRA National Code of Fair Practice for Network Television Broadcasting contract (a separate agreement negotiated between the union, major broadcast networks and other producers which currently runs through July 2024) were not affected, allowing news programs, most talk, variety, game and reality shows, soap operas, sports and promos to continue production with SAG-AFTRA members covered by that agreement. The strike ended on November 9 after a new agreement with the AMPTP was reached.",288
2023_tv_101,"Fox News hosts the first of the 2024 Republican Party presidential debates at Fiserv Forum in Milwaukee, Wisconsin, which will also host the GOP's nominating convention. Eight candidates appear on the stage—Doug Burgum, Chris Christie, Ron DeSantis, Nikki Haley, Asa Hutchinson, Mike Pence, Vivek Ramaswamy, and Tim Scott—the lowest number of candidates for the first Republican debate stage since 2012. The relatively low number was due to strict RNC requirements that any participants have at least 40,000 individual donors and poll above 1% in either three national polls or two national polls and one state poll. (By comparison, high candidate numbers caused both the 2016 GOP and 2020 Democratic debates to be spread out over two nights.) Thanks to not meeting polling requirements or refusing to sign a loyalty pledge to back the eventual nominee, Ryan Binkley, Larry Elder, Will Hurd, Perry Johnson, Francis Suarez, and former president Donald Trump did not attend; Trump, the polling frontrunner, instead appears in a pre-taped interview with Tucker Carlson that aired as counterprogramming to the debate on X (formerly Twitter).",284
2023_tv_40,"Oklahoma Governor Kevin Stitt vetoes H.B. 2820, a bill that would extend authorization for the Oklahoma Educational Television Authority, the state's PBS member network, through July 1, 2026. Although Stitt later alleged the veto was over objections to LGBTQ+ content on certain PBS programs that he claims ""indoctrinat[es]"" and ""overly sexualizes"" children (harkening rhetoric of a broader ongoing culture war over LGBTQ+ rights), the bill is one of over 20 measures (some passed unanimously by the state's House and Senate) that he elected to veto in a broader impasse with Senate leaders over his education and tax proposals—which, in addition to increasing education funding and teacher salaries, would also create a voucher-like tax credit program. The veto of H.B. 2820—which, had it not received the required two-thirds support of both legislative chambers to override it, would have resulted in OETA's agency authorization expiring on July 1 and the member network ceasing operations when its existing funding appropriations lapsed in July 2024—was overridden by the legislature on May 25 (the penultimate day of its 2023 session), passing the House, 73–23, and the Senate, 38–6.",273
2023_tv_1,"The 2023 Kids' Choice Awards airs on Nickelodeon and was simulcast on six Paramount-owned sister networks (including the Nick Jr. Channel, Nicktoons, TeenNick, TV Land and MTV2) from the Microsoft Theater in Los Angeles, with Nate Burleson and Charli D'Amelio (who won ""Favorite Female Creator"") as hosts. Harry Styles won the most awards among all nominees with three each: for ""Favorite Male Artist"", ""Favorite Global Music Star"", and ""Favorite Song"" (for ""As It Was""). High School Musical: The Musical: The Series (with Olivia Rodrigo and Joshua Bassett winning both ""Favorite Kids TV Star"" categories) and Wednesday (which won ""Favorite Family TV Show"" and ""Favorite Female Family TV Star"" for Jenna Ortega) were the top winners among TV nominees with two each. Other major winners include Sonic the Hedgehog 2 (""Favorite Movie""), SpongeBob SquarePants (""Favorite Animated Series""), and Adam Sandler (""King of Comedy Award""). Also on this day, Nickelodeon receives its first major rebrand in almost six years.",269
2023_tv_91,"After Diamond Sports Group receives bankruptcy court approval of its motion (filed on June 22, with the intent of terminating the contract effective June 30) to surrender its contract with the team, the Arizona Diamondbacks and Major League Baseball assume the regional television rights to the former's games from Bally Sports Arizona, starting with that night's game against the Atlanta Braves. The telecasts will be carried on alternate channels on Cox, Spectrum, Xfinity, DirecTV, DirecTV Stream, Fubo and other providers within the team's regional territory, along with a blackout-free livestream on MLB.tv (with all games scheduled through July 23 available free to stream using MLB login credentials on the respective websites and apps of the MLB and the Diamondbacks). Due to the earlier departures of the NBA's Suns and WNBA's Mercury from the network (see April 28 entry), the loss of the Diamondbacks from the network leaves the NHL's Arizona Coyotes as the only major Phoenix-area sports franchise that maintains a broadcasting relationship with Bally Sports Arizona. Game announcers Steve Berthiaume and Bob Brenly will remain on the broadcasts as they are directly employed by the Diamondbacks.",268
2023_tv_83,"DirecTV removes 159 stations owned by Nexstar Media Group after the two parties fail to reach a new carriage agreement. The impasse results in the complete loss of stations operated by Nexstar and its partner companies (Mission Broadcasting and White Knight Broadcasting) from the DirecTV satellite service, DirecTV Stream and U-verse, amid an existing contractual and legal dispute between DirecTV and Nexstar dating to October 2022, concerning alleged collective bargaining influence by the three station groups in retransmission fee negotiations that prompted the earlier removal of Mission and White Knight's respective stations from the company's television services (see March 14 entry). In a July 18 FCC letter, DirecTV accused CW majority owner Nexstar of forcing Sinclair Broadcast Group to remove 21 affiliates (all based in markets where both groups operate stations, and leaving subscribers of the vMVPD service in those areas unable to view CW programs) from DirecTV Stream on July 12; Nexstar countered that DirecTV Stream continued to carry Sinclair's CW stations without renewing a prior agreement that expired in November 2022. A gradual restoration of the Nexstar stations to DirecTV would begin on September 17, with the companies announcing a new multi-year carriage deal the next day.",263
2023_tv_4,"WLBT/Jackson removes longtime morning anchor and chief meteorologist Barbie Bassett (who is white), after she quoted the Snoop Dogg-coined slang, ""Fo shizzle, my nizzle"" (""nizzle"" referring to the Black term of endearment vernacular for ""nigger""), when a collaboration with another WLBT reporter was jokingly raised during the Gray-owned NBC affiliate's 11:00 a.m. newscast, after a report on the introduction of a new wine to the rapper's Cali Wine Collection line. Although WLBT—which infamously had its license revoked by the FCC in 1969 from original owner Lamar Life Insurance, due to the station's advocacy of racial segregation and omission of civil rights movement coverage during NBC News broadcasts—has not formally disclosed Bassett's status, her biography was removed from its website. Bassett previously apologized for a similar incident in October 2022, in which she suggested reporter Carmen Poe (who is Black) ask her grandmother—whom Bassett referred to as ""grandmammy""—for a pie recipe to get a scoop on a then-upcoming ESPN College Gameday telecast from Jackson State University.",262
2023_tv_165,"The Kansas City Chiefs defeat the Philadelphia Eagles, 38–35, in Super Bowl LVII at State Farm Stadium in Glendale, Arizona, which was broadcast on Fox (in English) and Fox Deportes (in Spanish), and streamed on the Fox Sports app and NFL+. It was the first Super Bowl assignment for play-by-play announcer Kevin Burkhardt and color analyst Greg Olsen, who succeeded Joe Buck and Troy Aikman as Fox's NFL broadcast team in 2020 after they were hired by ABC/ESPN to call its Monday Night Football and NFL playoff telecasts. The Fox telecast averaged 115.1 million viewers according to Nielsen data, becoming the most-watched program in American television history (just ahead of Super Bowl XLIX), with viewership reaching 118.7 million during the halftime show (headlined by Rihanna, who revealed her second pregnancy with the performance); the Fox Deportes telecast was watched by 951,000 viewers, becoming both the most-watched Super Bowl broadcast and the most watched non-soccer sports telecast in Spanish-language cable history.",260
2023_tv_64,"Gray Television files a lawsuit in the Eleventh Circuit Court of Appeals that requests to vacate a $518,283 fine issued by the FCC in July 2021 (which was upheld on appeal in a 3–1 vote by the FCC Media Bureau in October 2022), pertaining to a July 2020 non-license asset deal between Gray and Denali Media Holdings that saw the former acquire and transfer the CBS affiliation rights for Anchorage from KTVA (now a Rewind TV affiliate) to Gray-owned KYES (now KAUU). Because Gray already owned NBC affiliate KTUU, the FCC considered the transaction as equivalent to purchasing a second top-four station in violation of FCC duopoly regulations. Gray—which acquired KAUU (then a lower-rated MyNetworkTV affiliate) in 2016—contends the FCC had no authority to regulate the affiliation purchase as it did not involve a license transfer, that its regulation of a ""functional equivalent"" to the agency's Top-4 Rule via the fine exceeds the agency's regulatory authority, and that the fine violates the First Amendment by penalizing Gray's programming decisions without furthering a ""legitimate"" government interest.",257
