id,sentences
0,"Then, the man writes over the snow covering the window of a car, and a woman wearing winter clothes smiles."
1,A female chef in white uniform shows a stack of baking pans in a large kitchen presenting them.
2,A female chef in white uniform shows a stack of baking pans in a large kitchen presenting them. The pans are filled with pastries and loaded into the oven.
3,A tray of potatoes is loaded into the oven and removed. A large tray of cake is flipped over and placed on counter.
4,The man in the center is demonstrating a hairstyle on the person wearing the blue shirt.
5,The man in the blue shirt sits on the chair next to the sink. The other man begins washing his hair.
6,The man in the blue shirt sits on the chair next to the sink. The other man begins washing his hair. He scrubs in the shampoo and then washes it off.
7,He scrubs in the shampoo and then washes it off. He then combs it and blow dries his hair after styling it with gel.
8,He then combs it and blow dries his hair after styling it with gel. He uses an electric clipper to groom the sideburns and the temples.
9,He uses an electric clipper to groom the sideburns and the temples. He also trims the back and sides of his head with the clippers.
10,He also trims the back and sides of his head with the clippers. He uses scissors to trim the hair and give it a finished look.
11,He uses scissors to trim the hair and give it a finished look. The model uses some hair gel to style his hair after the haircut.
12,Two bodybuilder women are seated at a table.
13,"Two bodybuilder women are seated at a table. They are arm wrestling, vieing to win."
14,This is a tutorial on how to start a campfire.
15,This is a tutorial on how to start a campfire. It shows the campfire burning on the ground.
16,It shows the campfire burning on the ground. It starts with the things you will need to begin with.
17,Some crumpled newspaper and a lighter along with a bucket of water. A man begins demonstrating how to place the newspaper and twigs on top of that.
18,A man begins demonstrating how to place the newspaper and twigs on top of that. He then creates a pyramid shaped structure.
19,He takes his lighter and lights the newspaper in several places to start the fire. The bonfire starts burning and continues to burn.
21,"A lady named linda, creator of paint along is demonstrating how to do an acrylic painting."
22,"A lady named linda, creator of paint along is demonstrating how to do an acrylic painting. She starts with a one inch flat brush and yellow and white acrylic paint."
23,She starts with a one inch flat brush and yellow and white acrylic paint. She makes x patterns across the canvas with the yellow color.
24,She makes x patterns across the canvas with the yellow color. She continues the same pattern on the top part of the canvas.
25,She then takes a liner brush to do some finer detailing on the painting such as branches of a tree.
26,A large group of people are seen standing around a large gymnasium playing a game of dodge ball with one another.
27,A little boy walk toward the sink.
28,"A little boy walk toward the sink. The boy stands on front the sink and puts toothpaste on the brush, and then brush the teeth."
29,"A woman with long, black, curly hair is wearing casual wear, talking, and squatting on a roof."
30,The woman then stands up and walks to a part of the roof where she lifts up a black shingle on the roof.
31,A large truck pulls up to the house and a man begins to unload shingles onto the roof.
32,The woman is back on the roof with a shovel and is shoveling off all of the old shingles then she dumps them in a large dumpster.
33,"Men are now laying out long pieces of black material and nailing them into the roof, as well as nailing the shingles down."
34,The roof is done and a view of the entire house is shown to show off the finished roof.
35,We see an opening title screen. A person walks up stairs into a room and sees beer poured from a keg and people talking.
36,People stand and play beer pong while others watch. A man tries to blow a ball out of a cup.
37,A man is seen speaking to the camera while holding a large accordion in his hands.
39,A little girl in a room standing in front of some chairs is hitting a dora pinata.
40,A little girl in a room standing in front of some chairs is hitting a dora pinata. She hits it a few times and then its someone else's turn.
41,We see blinds down on a window. A person is laying in a tattoo parlor being tattooed.
42,We back up and see the tattoo artist. The lady looks in her phone and smiles at the camera.
